n,estrategia,status,custo,passos,nos_expandidos,fronteira_max,tempo_geracao_s,tempo_busca_s,tempo_total_s,memoria_sistema_pico_percentual,memoria_disponivel_min_mib,limite_memoria_percentual,detalhe
3600,BFS,OK,15766,7198,10350249,3205,1.1579923999997845,20.489812599998913,21.979521499999464,77.79725210925781,3480.6796875,88.0,
3600,DFS,TEMPO,,,,,,,60.16558240000086,84.7597713579484,2389.1796875,88.0,execução interrompida após 60 s
