n,estrategia,status,custo,passos,nos_expandidos,fronteira_max,tempo_geracao_s,tempo_busca_s,tempo_total_s,memoria_sistema_pico_percentual,memoria_disponivel_min_mib,limite_memoria_percentual,detalhe
3200,BFS,OK,14201,6398,8178270,2885,0.9064636000002793,14.79785559999982,16.007645599998796,77.56701534413419,3516.7734375,92.0,
3200,DFS,OK,9181547,4172840,6337604,4119496,0.9157379000007495,38.26157980000062,40.84079579999889,83.58633629518147,2573.13671875,92.0,
3200,UCS,OK,8651,6638,8178249,4829,0.9019372000002477,35.06544980000035,36.308536400001685,82.45341692290059,2750.7421875,92.0,
