n,estrategia,status,custo,passos,nos_expandidos,fronteira_max,tempo_geracao_s,tempo_busca_s,tempo_total_s,memoria_sistema_pico_percentual,memoria_disponivel_min_mib,limite_memoria_percentual,detalhe
3600,BFS,OK,15766,7198,10350249,3205,1.1638272000000143,19.677924200000007,21.159043300000008,66.21096066539423,5297.0390625,88.0,
3600,DFS,OK,11600754,5271234,8063049,5207260,1.1518578000000161,57.42783579999997,59.44651809999999,73.70394641762557,4122.37890625,88.0,
3600,UCS,OK,9686,7454,10350245,5314,1.2051890999999841,43.70697309999997,45.21192580000002,72.42844968928004,4322.3359375,88.0,
